Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P21513,Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6,rne,32,2572.23,118106.8771,2,1.66E-01,3.19E-01,2.54E-01,1.11E-01,1.41E-01,1.96E-01,1.47E-01,1.30E-01,2.51E-01,2.19E-01,1.84E-01,1.70E-01,1.05E-01,1.29E-01,1.37E-01,2.21E-01,1.46E-01,1.75E-01,1.92E-01,1.11E-01,1.30E-01,2.18E-01
P0A8M3,Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1,thrS,32,1942.28,73948.79422,2,1.15E-01,2.38E-01,1.41E-01,7.93E-02,1.09E-01,1.04E-01,1.16E-01,1.00E-01,1.68E-01,1.38E-01,1.27E-01,1.32E-01,8.45E-02,7.47E-02,9.26E-02,1.85E-01,1.21E-01,1.29E-01,1.02E-01,8.01E-02,9.69E-02,1.37E-01
P0A799,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,pgk,32,2518.51,41074.62371,2,2.73E+00,3.95E+00,4.17E+00,2.03E+00,2.10E+00,2.10E+00,2.34E+00,1.92E+00,2.11E+00,1.84E+00,1.46E+00,1.46E+00,1.66E+00,1.60E+00,3.04E+00,2.64E+00,2.81E+00,2.79E+00,1.72E+00,2.04E+00,1.90E+00,3.14E+00
P00370,NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,gdhA,32,1927.2,48532.35541,2,5.11E-01,9.16E-02,1.93E-01,2.94E-01,2.50E-01,4.07E-01,3.35E-01,3.04E-01,6.49E-01,4.72E-01,3.25E-01,2.06E-01,5.13E-02,5.48E-02,4.00E-01,2.02E-01,4.78E-01,4.37E-01,3.41E-01,1.94E-01,2.84E-01,4.98E-01
P0A825,Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1,glyA,32,2089.47,45269.96251,2,1.84E+00,7.80E-01,1.11E+00,6.83E-01,1.05E+00,1.26E+00,1.06E+00,1.15E+00,9.97E-01,6.93E-01,5.16E-01,3.85E-01,6.90E-01,6.43E-01,1.88E+00,1.48E+00,1.82E+00,1.64E+00,1.21E+00,9.42E-01,1.25E+00,1.58E+00
P23843,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,oppA,32,1916.49,60842.91364,2,5.81E-01,6.75E-01,3.06E+00,2.99E-01,5.56E-01,6.86E-01,5.04E-01,5.57E-01,6.69E-01,6.23E-01,5.54E-01,4.32E-01,8.00E-01,8.75E-01,1.42E+00,3.39E-01,6.83E-01,9.29E-01,5.33E-01,4.34E-01,6.55E-01,6.12E-01
P0A9A6,Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,32,2379.17,40280.55906,2,4.06E-01,5.28E-01,5.09E-01,2.13E-01,2.61E-01,2.96E-01,2.89E-01,2.79E-01,2.42E-01,1.99E-01,1.72E-01,1.49E-01,9.72E-02,1.07E-01,3.79E-01,3.51E-01,3.46E-01,4.00E-01,3.15E-01,2.07E-01,2.92E-01,3.45E-01
P08997,Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,aceB,32,2238.64,60217.52759,2,4.39E-01,2.42E-01,3.35E-01,2.03E+00,1.16E+00,1.09E+00,8.31E-01,4.70E-01,1.15E+00,1.55E+00,1.69E+00,1.60E+00,4.15E-01,3.43E-01,1.12E+00,1.55E+00,6.07E-01,5.06E-01,1.27E+00,1.63E+00,9.01E-01,4.84E-01
P33602,NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,32,2198.98,100217.9683,2,1.55E-01,6.29E-01,3.78E-01,1.45E-01,2.32E-01,2.34E-01,2.44E-01,2.22E-01,2.51E-01,2.50E-01,2.12E-01,2.04E-01,3.23E-02,2.91E-02,6.02E-02,9.45E-02,1.28E-01,1.36E-01,2.45E-01,1.51E-01,2.38E-01,2.46E-01
P17846,Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4,cysI,31,1902.4,63939.93503,2,3.20E-01,6.58E-02,1.74E-01,1.67E-01,2.16E-01,2.31E-01,2.71E-01,2.05E-01,2.09E-01,1.50E-01,1.12E-01,1.04E-01,2.47E-02,2.24E-02,9.44E-02,2.07E-01,1.64E-01,1.90E-01,1.96E-01,1.42E-01,1.86E-01,2.87E-01
P00582,DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,31,2183.47,103035.5166,2,7.52E-02,1.56E-01,1.01E-01,6.02E-02,7.62E-02,7.56E-02,7.58E-02,8.25E-02,7.87E-02,6.81E-02,6.16E-02,5.81E-02,3.49E-02,3.81E-02,4.75E-02,6.72E-02,6.19E-02,7.14E-02,6.51E-02,5.64E-02,6.50E-02,7.24E-02
P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2,gapA,31,1793.43,35492.2309,2,2.77E+00,2.87E+00,2.77E+00,1.19E+00,1.33E+00,1.77E+00,1.92E+00,1.24E+00,2.00E+00,1.26E+00,9.05E-01,7.76E-01,9.97E-01,1.05E+00,1.49E+00,3.04E+00,2.31E+00,2.34E+00,1.60E+00,9.81E-01,1.44E+00,3.70E+00
P15639,Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1,purH,31,1871.94,57274.98651,2,2.59E-01,8.48E-02,2.58E-01,1.08E-01,2.03E-01,2.02E-01,2.26E-01,2.46E-01,2.15E-01,1.21E-01,9.60E-02,7.91E-02,1.35E-01,1.17E-01,2.25E-01,3.11E-01,2.81E-01,2.38E-01,1.77E-01,1.30E-01,2.08E-01,2.68E-01
P0A853,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,31,1872.16,52721.57894,2,5.37E-02,3.89E+00,6.76E+00,2.11E-01,1.45E-01,9.65E-02,9.15E-02,7.75E-02,1.89E-01,2.69E-01,2.67E-01,3.28E-01,3.95E-02,3.17E-02,4.50E-02,6.66E-02,5.12E-02,5.71E-02,1.45E-01,1.22E-01,1.51E-01,6.13E-02
P25516,Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,31,2147.6,97597.74141,2,9.65E-02,1.58E-01,1.27E-01,2.59E-01,2.16E-01,2.47E-01,1.31E-01,1.27E-01,1.59E-01,2.10E-01,2.35E-01,2.18E-01,8.70E-02,9.20E-02,9.70E-02,1.08E-01,1.07E-01,8.19E-02,2.05E-01,2.12E-01,1.91E-01,1.09E-01
P33599,NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,31,1769.66,68174.53178,2,1.06E-01,3.65E-01,2.96E-01,1.01E-01,1.50E-01,1.75E-01,1.85E-01,1.21E-01,1.97E-01,1.79E-01,1.70E-01,1.43E-01,2.33E-02,2.47E-02,5.76E-02,8.63E-02,1.01E-01,1.13E-01,1.59E-01,1.03E-01,1.38E-01,1.71E-01
P0A9C5,Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,glnA,30,1686.3,51852.71686,2,1.54E+00,6.27E-01,7.48E-01,4.29E-01,5.58E-01,6.11E-01,8.83E-01,6.19E-01,9.88E-01,6.87E-01,6.02E-01,6.03E-01,2.86E-01,3.00E-01,7.89E-01,1.04E+00,1.32E+00,9.19E-01,7.99E-01,5.17E-01,5.53E-01,1.14E+00
P09151,2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5,leuA,30,2302.65,57244.09138,2,2.58E-01,8.41E-02,8.49E-02,4.03E-01,2.77E-01,3.01E-01,3.21E-01,1.99E-01,3.52E-01,3.64E-01,3.60E-01,4.78E-01,1.74E-01,1.39E-01,6.00E-01,4.50E-01,2.10E-01,5.00E-01,3.17E-01,4.06E-01,3.30E-01,3.62E-01
P37685,Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,30,1607.71,56252.47906,2,5.50E-02,6.81E-02,6.68E-02,1.60E-01,2.22E-01,1.07E-01,9.85E-02,1.27E-01,1.31E-01,2.91E-01,4.40E-01,6.67E-01,2.98E-01,2.92E-01,6.67E-02,6.17E-02,4.68E-02,5.55E-02,1.32E-01,2.74E-01,1.10E-01,4.25E-02
P06149,D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3,dld,30,1565.74,64553.60212,2,6.52E-02,4.81E-02,6.63E-02,7.20E-02,7.40E-02,6.18E-02,5.97E-02,6.19E-02,7.07E-02,6.69E-02,5.59E-02,6.34E-02,4.25E-02,4.72E-02,6.92E-02,4.58E-02,6.46E-02,8.01E-02,6.14E-02,5.51E-02,6.47E-02,5.87E-02
P37330,Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3,glcB,30,1775.61,80419.85713,2,3.77E-02,8.44E-02,8.79E-02,3.17E-01,1.32E-01,1.43E-01,1.02E-01,3.86E-02,1.12E-01,2.08E-01,2.33E-01,1.82E-01,7.05E-02,7.14E-02,3.77E-02,5.07E-02,4.25E-02,5.82E-02,1.56E-01,1.71E-01,1.20E-01,5.92E-02
P0ABH7,Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1,gltA,30,2043.46,47965.89357,2,7.70E-01,1.30E+00,1.82E+00,2.71E+00,1.45E+00,1.77E+00,1.40E+00,2.96E+00,2.52E+00,2.12E+00,2.11E+00,2.00E+00,5.85E-01,5.75E-01,9.03E-01,1.23E+00,8.13E-01,1.33E+00,2.25E+00,1.44E+00,1.55E+00,1.60E+00
P35340,Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,29,1822.39,56124.08085,2,2.27E-01,4.81E-01,3.81E-01,2.05E-01,2.08E-01,3.68E-01,2.16E-01,1.70E-01,1.89E-01,1.67E-01,1.30E-01,1.02E-01,3.62E-02,3.29E-02,2.05E-01,2.98E-01,3.01E-01,3.19E-01,2.25E-01,1.38E-01,2.22E-01,2.85E-01
P0A910,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,29,2046.35,37159.64679,2,7.38E+00,9.04E+00,9.60E+00,4.60E+00,4.99E+00,7.47E+00,6.35E+00,4.37E+00,7.62E+00,6.28E+00,5.10E+00,4.44E+00,6.36E+00,6.84E+00,9.64E+00,4.86E+00,7.21E+00,7.32E+00,4.68E+00,4.51E+00,5.50E+00,5.64E+00
P17169,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4,glmS,29,2457.09,66834.61906,2,4.47E-01,5.85E-01,6.64E-01,1.84E-01,3.24E-01,2.11E-01,4.00E-01,3.10E-01,3.29E-01,2.37E-01,1.79E-01,1.55E-01,1.49E-01,1.70E-01,2.42E-01,5.52E-01,3.23E-01,4.48E-01,2.69E-01,2.34E-01,3.71E-01,4.64E-01
P16659,Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,proS,29,2204.63,63634.68294,2,4.57E-01,6.81E-01,6.16E-01,2.40E-01,3.50E-01,3.25E-01,3.93E-01,3.39E-01,4.00E-01,2.94E-01,2.29E-01,2.05E-01,2.24E-01,2.22E-01,2.73E-01,4.28E-01,4.53E-01,4.67E-01,4.08E-01,2.87E-01,4.06E-01,5.11E-01
P60422,50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2,rplB,29,1979.3,29824.00117,2,7.03E-01,1.97E+00,1.34E+00,3.39E-01,4.83E-01,7.13E-01,6.08E-01,5.77E-01,8.63E-01,5.66E-01,4.26E-01,4.07E-01,3.79E-01,3.49E-01,5.20E-01,1.19E+00,7.35E-01,7.03E-01,5.64E-01,3.19E-01,5.00E-01,9.65E-01
P00452,Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2,nrdA,29,1369.24,82789.58209,2,7.70E-02,1.70E-01,1.87E-01,4.78E-02,6.87E-02,1.02E-01,9.16E-02,9.95E-02,1.40E-01,1.19E-01,1.10E-01,7.47E-02,4.67E-02,4.46E-02,6.41E-02,1.21E-01,7.63E-02,9.23E-02,9.52E-02,5.96E-02,7.09E-02,1.10E-01
P27298,Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3,prlC,29,1525.67,77100.625,2,1.73E-01,3.46E-01,2.35E-01,1.39E-01,1.36E-01,1.33E-01,1.54E-01,1.32E-01,1.21E-01,1.04E-01,1.01E-01,7.70E-02,7.22E-02,7.60E-02,1.48E-01,1.95E-01,1.77E-01,1.43E-01,1.68E-01,1.32E-01,1.38E-01,1.69E-01
P0A6B7,Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1,iscS,29,2188.87,45042.91969,2,1.02E+00,9.54E-01,1.18E+00,7.09E-01,6.75E-01,7.48E-01,9.23E-01,7.35E-01,9.31E-01,6.24E-01,4.94E-01,3.26E-01,1.08E-01,1.09E-01,8.73E-01,1.20E+00,7.77E-01,1.16E+00,9.22E-01,6.76E-01,6.44E-01,1.09E+00
P13035,Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3,glpD,29,1604.83,56697.06997,2,1.27E-02,3.63E-01,5.37E-01,1.01E-02,8.54E-03,9.13E-03,5.60E-01,7.89E-03,9.75E-03,9.41E-03,9.35E-03,7.68E-03,1.62E-02,1.88E-02,1.69E-02,1.91E-02,1.84E-02,1.63E-02,1.52E-02,1.13E-02,1.25E-02,1.64E-02
P0ABB0,ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,atpA,29,2800.06,55169.73662,2,1.33E+00,2.20E+00,3.04E+00,1.01E+00,1.51E+00,1.74E+00,1.65E+00,1.77E+00,1.51E+00,1.23E+00,9.86E-01,7.64E-01,4.96E-01,4.77E-01,1.01E+00,1.22E+00,1.01E+00,1.51E+00,1.57E+00,1.08E+00,1.83E+00,1.75E+00
P38038,Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4,cysJ,28,2175.11,66210.86614,2,3.65E-01,8.06E-02,2.27E-01,1.73E-01,2.18E-01,2.29E-01,2.84E-01,2.06E-01,2.20E-01,1.44E-01,9.98E-02,8.30E-02,3.97E-02,4.15E-02,1.56E-01,3.52E-01,2.90E-01,2.73E-01,2.23E-01,1.55E-01,2.27E-01,4.08E-01
P0AAI3,ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1,ftsH,28,1906.04,70645.4092,2,2.62E-01,4.64E-01,3.51E-01,1.45E-01,1.95E-01,2.17E-01,2.46E-01,2.33E-01,2.75E-01,2.19E-01,1.85E-01,1.75E-01,1.14E-01,1.08E-01,2.60E-01,3.35E-01,2.93E-01,2.72E-01,2.14E-01,1.72E-01,2.05E-01,2.67E-01
P0AG30,Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1,rho,28,2097.93,46956.59013,2,2.53E-01,4.63E-01,3.17E-01,1.61E-01,1.87E-01,1.78E-01,2.01E-01,1.83E-01,2.17E-01,1.73E-01,1.44E-01,1.43E-01,1.17E-01,1.19E-01,1.84E-01,2.48E-01,2.34E-01,2.13E-01,1.98E-01,1.32E-01,2.08E-01,2.44E-01
P0A817,S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2,metK,28,1718.3,41907.1862,2,8.70E-01,4.92E-01,5.17E-01,2.47E-01,3.62E-01,5.19E-01,4.75E-01,4.72E-01,5.35E-01,3.64E-01,3.00E-01,2.54E-01,1.24E-01,1.07E-01,9.05E-01,1.10E+00,1.62E+00,8.00E-01,4.49E-01,3.43E-01,4.20E-01,5.94E-01
P0ADG7,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1,guaB,28,2370.1,51972.01166,2,9.70E-01,5.10E-01,2.86E+00,3.49E-01,5.15E-01,5.14E-01,4.79E-01,3.80E-01,6.04E-01,3.47E-01,2.41E-01,2.16E-01,5.14E-01,5.68E-01,1.12E+00,6.85E-01,9.90E-01,7.57E-01,4.02E-01,2.80E-01,5.76E-01,6.56E-01
Q59385,Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4,copA,27,1782.14,87799.79865,2,4.04E-01,9.22E-02,3.74E-01,5.40E-01,6.16E-01,3.34E-01,5.80E-01,6.02E-01,4.21E-01,4.56E-01,3.52E-01,3.46E-01,1.56E-01,1.91E-01,3.28E-01,7.75E-01,1.39E+00,4.78E-01,5.75E-01,4.49E-01,5.70E-01,5.15E-01
P0AFF6,Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,nusA,27,1899.01,54819.06259,2,5.08E-01,9.13E-01,6.61E-01,2.52E-01,3.57E-01,4.00E-01,3.93E-01,3.47E-01,3.36E-01,2.84E-01,2.26E-01,2.03E-01,1.91E-01,2.36E-01,4.41E-01,3.82E-01,3.70E-01,4.60E-01,4.19E-01,3.16E-01,4.24E-01,4.98E-01
P0A7Z4,DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1,rpoA,27,1907.81,36471.13747,2,8.83E-01,2.13E+00,1.53E+00,6.91E-01,8.56E-01,7.62E-01,8.96E-01,7.85E-01,9.77E-01,8.53E-01,6.48E-01,5.85E-01,4.39E-01,5.29E-01,9.48E-01,8.73E-01,8.47E-01,8.57E-01,6.94E-01,6.05E-01,6.70E-01,8.33E-01
P0A8N3,Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2,lysS,27,2561.23,57549.12811,2,2.45E-01,4.62E-01,3.15E-01,1.49E-01,1.81E-01,1.91E-01,1.91E-01,1.47E-01,2.29E-01,1.72E-01,1.36E-01,1.18E-01,1.35E-01,1.14E-01,1.93E-01,2.89E-01,2.62E-01,2.70E-01,1.86E-01,1.28E-01,1.86E-01,2.76E-01
P00959,Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2,metG,27,1588.88,76188.10041,2,2.63E-01,3.25E-01,2.41E-01,1.38E-01,1.61E-01,1.69E-01,1.86E-01,1.79E-01,1.90E-01,1.50E-01,1.23E-01,1.06E-01,8.37E-02,8.97E-02,1.66E-01,2.83E-01,2.05E-01,2.11E-01,1.87E-01,1.30E-01,1.64E-01,2.43E-01
P00350,"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",gnd,27,1940.13,51431.30094,2,1.20E+00,1.48E+00,1.37E+00,4.70E-01,5.76E-01,7.21E-01,7.12E-01,5.98E-01,7.01E-01,4.45E-01,3.34E-01,2.52E-01,4.67E-01,5.82E-01,8.66E-01,1.40E+00,1.25E+00,1.07E+00,6.22E-01,4.10E-01,6.85E-01,8.81E-01
P0AEE5,D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1,mglB,27,1604.39,35672.35627,2,1.91E-01,1.19E+00,1.29E+00,1.16E+00,1.70E+00,1.05E+00,1.04E+00,1.07E+00,1.23E+00,1.75E+00,1.41E+00,1.17E+00,2.10E-01,1.64E-01,1.53E-01,1.95E-01,1.80E-01,3.35E-01,2.16E+00,5.14E+00,1.60E+00,5.75E-01
P0AD96,Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1,livJ,27,1996.57,39033.9819,2,1.49E+00,1.23E-01,2.72E-01,1.37E+00,1.81E+00,2.13E+00,1.52E+00,1.43E+00,1.92E+00,2.25E+00,1.97E+00,1.51E+00,6.15E-01,6.47E-01,1.41E+00,1.17E+00,1.28E+00,1.15E+00,1.80E+00,1.49E+00,1.94E+00,1.63E+00
P13009,Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5,metH,27,1587.38,135893.6125,2,9.50E-02,6.10E-02,5.84E-02,4.01E-02,5.75E-02,6.82E-02,7.14E-02,6.90E-02,7.81E-02,5.76E-02,4.94E-02,4.24E-02,3.23E-02,2.28E-02,5.97E-02,5.11E-02,8.08E-02,9.49E-02,7.72E-02,5.19E-02,7.73E-02,1.11E-01
P61889,Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1,mdh,27,2213,32299.20422,2,2.85E+00,3.92E+00,5.93E+00,6.42E+00,3.72E+00,3.59E+00,3.54E+00,6.92E+00,3.83E+00,3.24E+00,2.63E+00,2.27E+00,8.73E-01,1.04E+00,3.38E+00,3.37E+00,1.92E+00,3.79E+00,4.87E+00,2.67E+00,3.84E+00,4.06E+00
P32132,GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2,typA,26,1734.85,67295.47014,2,3.37E-01,4.82E-01,2.76E-01,8.92E-02,1.34E-01,1.81E-01,1.84E-01,1.61E-01,1.53E-01,9.87E-02,8.66E-02,7.25E-02,1.08E-01,9.60E-02,2.16E-01,2.73E-01,2.43E-01,2.30E-01,1.41E-01,1.24E-01,1.61E-01,2.74E-01
P77804,Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1,ydgA,26,1469.59,54636.91746,2,1.10E-01,2.05E-01,1.68E-01,1.02E-01,1.03E-01,1.31E-01,1.09E-01,8.30E-02,1.21E-01,1.12E-01,1.01E-01,1.01E-01,9.64E-02,1.08E-01,1.15E-01,8.44E-02,1.47E-01,1.05E-01,9.08E-02,8.38E-02,9.30E-02,1.01E-01
P06971,Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2,fhuA,26,1525.73,82113.29387,2,1.19E-01,7.50E-02,1.49E-01,7.97E-02,1.23E-01,1.14E-01,1.21E-01,1.11E-01,1.54E-01,9.81E-02,7.20E-02,6.30E-02,8.85E-02,9.13E-02,1.23E-01,1.62E-01,2.00E-01,1.37E-01,1.17E-01,1.04E-01,1.21E-01,1.26E-01
P0ADY1,Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1,ppiD,26,1563.05,68089.75025,2,1.19E-01,1.90E-01,1.79E-01,9.20E-02,1.04E-01,1.40E-01,1.52E-01,1.17E-01,1.34E-01,1.38E-01,1.09E-01,1.19E-01,7.26E-02,6.89E-02,1.84E-01,2.06E-01,1.58E-01,1.92E-01,1.74E-01,1.63E-01,1.58E-01,1.79E-01
P30850,Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3,rnb,26,1290.68,72427.22502,2,1.52E-01,1.47E-01,1.10E-01,7.37E-02,8.89E-02,1.02E-01,1.09E-01,1.02E-01,1.09E-01,7.19E-02,5.46E-02,4.44E-02,6.54E-02,5.94E-02,1.07E-01,1.49E-01,1.52E-01,1.32E-01,9.45E-02,5.78E-02,1.13E-01,1.60E-01
P00962,Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3,glnS,26,1487.34,63419.78257,2,1.05E-01,1.80E-01,1.59E-01,6.25E-02,7.81E-02,6.75E-02,8.89E-02,8.14E-02,8.57E-02,6.49E-02,5.47E-02,4.87E-02,3.97E-02,3.75E-02,6.97E-02,1.16E-01,8.43E-02,8.95E-02,7.39E-02,5.74E-02,6.81E-02,1.03E-01
P0AB71,Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2,fbaA,26,1659.08,39104.59675,2,1.30E+00,1.52E+00,1.73E+00,7.37E-01,8.99E-01,9.27E-01,1.01E+00,9.05E-01,8.84E-01,6.09E-01,5.38E-01,4.59E-01,7.60E-01,8.10E-01,1.54E+00,1.06E+00,1.52E+00,1.13E+00,6.95E-01,7.34E-01,8.13E-01,1.59E+00
P0ABK5,Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2,cysK,26,2393.1,34450.28634,2,4.19E+00,1.25E+00,4.05E+00,3.82E+00,3.89E+00,3.72E+00,3.94E+00,3.53E+00,3.17E+00,2.48E+00,1.87E+00,1.68E+00,2.84E+00,2.99E+00,4.88E+00,5.18E+00,8.02E+00,3.94E+00,3.82E+00,2.92E+00,4.23E+00,4.32E+00
P0ACY3,Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1,yeaG,25,1326.76,74415.57277,2,6.41E-02,5.84E-02,3.91E-02,8.55E-02,8.70E-02,8.74E-02,8.71E-02,6.11E-02,1.10E-01,1.15E-01,1.55E-01,1.77E-01,9.90E-02,1.01E-01,9.22E-02,6.27E-02,1.38E-01,5.31E-02,9.14E-02,1.42E-01,6.85E-02,6.72E-02
P23845,Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1,cysN,25,1650.37,52508.01953,2,1.33E-01,3.26E-02,7.83E-02,6.00E-02,8.05E-02,9.03E-02,1.01E-01,8.73E-02,1.34E-01,8.15E-02,5.02E-02,3.30E-02,1.30E-02,1.54E-02,5.61E-02,1.17E-01,1.10E-01,9.00E-02,7.16E-02,5.09E-02,7.40E-02,1.41E-01
P23865,Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2,prc,25,1202.44,76597.69941,2,6.43E-02,7.89E-02,6.63E-02,4.60E-02,5.11E-02,5.09E-02,5.74E-02,5.74E-02,5.37E-02,4.44E-02,3.69E-02,3.42E-02,2.70E-02,2.12E-02,4.98E-02,5.61E-02,6.18E-02,6.29E-02,5.16E-02,4.36E-02,5.38E-02,6.43E-02
P21177,Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2,fadB,25,1449.92,79525.42988,2,2.29E-02,7.22E-02,4.90E-02,8.07E-02,1.22E-01,9.17E-02,3.68E-02,1.36E-01,1.14E-01,2.23E-01,2.88E-01,2.64E-01,4.40E-02,3.05E-02,2.74E-02,1.96E-02,2.00E-02,3.82E-02,1.63E-01,1.55E-01,1.21E-01,4.36E-02
P36938,Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1,pgm,25,1772.14,58306.46912,2,1.30E-01,2.28E-01,1.85E-01,1.30E-01,1.38E-01,1.38E-01,1.46E-01,1.58E-01,1.47E-01,1.51E-01,1.32E-01,1.36E-01,9.69E-02,8.56E-02,1.19E-01,1.48E-01,1.22E-01,1.22E-01,1.29E-01,9.61E-02,1.12E-01,1.24E-01
P0A870,Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2,talB,25,1950.25,35179.30906,2,6.21E-01,9.24E-01,1.07E+00,3.93E-01,5.66E-01,5.74E-01,6.60E-01,6.56E-01,5.82E-01,4.06E-01,2.85E-01,2.20E-01,3.84E-01,4.45E-01,7.93E-01,1.13E+00,7.72E-01,7.81E-01,5.33E-01,4.51E-01,5.62E-01,7.31E-01
